id,name,description,type,is_collection,property_count,method_count,hierarchy,role
interface_1,ABQAnalysisCase,Represents an Abaqus analysis case object.,Collection,true,3,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \ABQAnalysisCase\",Access an Abaqus analysis case object or determine its properties. An ABQAnalysisCase object contains the collection of Abaqus steps ( ABQSteps ) and Abaqus jobs ( ABQJobs ). An Abaqus analysis case object contains the data required to manage and run an Abaqus finite element analysis.
interface_2,ABQAnalysisCases,The collection of ABQAQUS analysis case objects attached to an.,Collection,true,0,3,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \Collection\, \ABQAnalysisCases\",Unknown
interface_3,ABQAnalysisModel,Represents the Abaqus analysis model object.,Collection,true,2,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \ABQAnalysisModel\",The Abaqus analysis model object contains the ABQAnalysisCases collection. The Abaqus analysis model object can also be used as an Refer: CATIAAnalysisModel.
interface_4,ABQAnalyticalRigidSurface,Represents an Abaqus Analytical rigid surface object.,Object,false,1,4,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \ABQInteraction\, \ABQAnalyticalRigidSurface\",Unknown
interface_5,ABQBoundaryCondition,Represents the base interface for Abaqus boundary condition objects.,Object,false,4,3,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \ABQBoundaryCondition\",The ABQBoundaryCondition interface manages the common properties of any boundary condition.
interface_6,ABQBoundaryConditions,The collection of Abaqus boundary condition objects attached to.,Collection,true,0,3,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \Collection\, \ABQBoundaryConditions\",Unknown
interface_7,ABQClampBC,Represents an Abaqus clamp object.,Object,false,0,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \ABQBoundaryCondition\, \ABQClampBC\",Access an Abaqus clamp object or determine its properties.
interface_8,ABQConcentratedForce,Represents an Abaqus concentrated force object .,Object,false,11,4,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \ABQLoad\, \ABQConcentratedForce\",Access an Abaqus concentrated force object or determine its properties.
interface_9,ABQDisplacementBC,Represents an Abaqus displacement boundary condition object.,Object,false,11,4,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \ABQBoundaryCondition\, \ABQDisplacementBC\",Access an Abaqus displacement boundary condition object or determine its properties.
interface_10,ABQExplicitDynamicsStep,Represents an Abaqus explicit dynamics step object.,Object,false,12,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \ABQStep\, \ABQExplicitDynamicsStep\",Access an Abaqus explicit dynamics step object or determine its properties.
interface_11,ABQFastenedConnectionEnhancement,This interface has been deprecated.,Object,false,9,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \ABQInteraction\, \ABQFastenedConnectionEnhancement\",Unknown
interface_12,ABQFastenedPair,Represents an Abaqus Fastened Pair object.,Object,false,9,2,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \ABQInteraction\, \ABQFastenedPair\",Unknown
