id,name,description,function_signature,return_type
method_1,AccurateType,,Func,
method_2,AccurateType,,Func,
method_3,Activate,,Sub,
method_4,Activate,,Sub,
method_5,Activate,,Sub,
method_6,Activate,,Sub,
method_7,Activate,,Sub,
method_8,Activate,,Sub,
method_9,Activate,,Sub,
method_10,Activate,,Sub,
method_11,Activate,,Sub,
method_12,Activate,,Sub,
method_13,Activate,,Sub,
method_14,Activate,,Sub,
method_15,Activate,,Sub,
method_16,ActivateDefaultShape,,Sub,
method_17,ActivateFrame,,Sub,
method_18,ActivateFrame,,Sub,
method_19,ActivateNext,,Sub,
method_20,ActivatePoint,,Sub,
method_21,ActivatePosition,,Sub,
method_22,ActivatePrevious,,Sub,
method_23,ActivateShape,,Sub,
method_24,Add,,Sub,
method_25,Add,,Func,
method_26,Add,,Func,
method_27,Add,,Func,
method_28,Add,,Func,
method_29,Add,,Func,
method_30,Add,,Func,
method_31,Add,,Func,
method_32,Add,,Func,
method_33,Add,,Func,
method_34,Add,,Func,
method_35,Add,,Func,
method_36,Add,,Func,
method_37,Add,,Func,
method_38,Add,,Func,
method_39,Add,,Func,
method_40,Add,,Func,
method_41,Add,,Func,
method_42,Add,,Func,
method_43,Add,,Func,
method_44,Add,,Sub,
method_45,Add,,Func,
method_46,Add,,Func,
method_47,Add,,Func,
method_48,Add,,Func,
method_49,Add,,Func,
method_50,Add,,Func,
method_51,Add,,Sub,
method_52,Add,,Func,
method_53,Add,,Func,
method_54,Add,,Func,
method_55,Add,,Func,
method_56,Add,,Sub,
method_57,Add,,Func,
method_58,Add,,Func,
method_59,Add,,Func,
method_60,Add,,Func,
method_61,Add,,Sub,
method_62,Add,,Func,
method_63,Add,,Func,
method_64,Add,,Func,
method_65,Add,,Func,
method_66,Add,,Sub,
method_67,Add,,Func,
method_68,Add,,Func,
method_69,Add,,Sub,
method_70,Add,,Func,
method_71,Add,,Func,
method_72,Add,,Func,
method_73,Add,,Func,
method_74,Add,,Func,
method_75,Add,,Func,
method_76,Add,,Func,
method_77,Add,,Sub,
method_78,Add,,Func,
method_79,Add,,Func,
method_80,Add,,Func,
method_81,Add,,Func,
method_82,Add,,Func,
method_83,Add,,Func,
method_84,Add,,Func,
method_85,Add,,Func,
method_86,Add,,Func,
method_87,Add,,Func,
method_88,Add,,Sub,
method_89,Add,,Func,
method_90,Add,,Func,
method_91,Add,,Func,
method_92,Add,,Func,
method_93,Add,,Func,
method_94,Add,,Func,
method_95,Add,,Func,
method_96,Add,,Func,
method_97,Add,,Func,
method_98,Add,,Func,
method_99,Add2,,Func,
method_100,Add2DArrow,,Func,
method_101,Add2DCircle,,Func,
method_102,Add2DFreeHand,,Func,
method_103,Add2DLine,,Func,
method_104,Add2DPicture,,Func,
method_105,Add2DRectangle,,Func,
method_106,Add2DText,,Func,
method_107,Add3DText,,Func,
method_108,AddAccuracyProfile,,Sub,
method_109,AddActiveLight,,Sub,
method_110,AddAffectedComponent,,Sub,
method_111,AddAlternateGraphic,,Sub,
method_112,AddArea,,Func,
method_113,AddAroundAny,,Func,
method_114,AddAroundProducts,,Func,
method_115,AddAssemblyAdd,,Func,
method_116,AddAssemblyHole,,Func,
method_117,AddAssemblyPocket,,Func,
method_118,AddAssemblyRemove,,Func,
method_119,AddAssemblySplit,,Func,
method_120,AddAssociation,,Sub,
method_121,AddAttributeReal,,Sub,
method_122,AddAttributeString,,Sub,
method_123,AddAuxAttribute,,Sub,
method_124,AddAuxiliary,,Func,
method_125,AddBiEltCst,,Func,
method_126,AddBodyToHeal,,Sub,
method_127,AddBound,,Sub,
method_128,AddBoundary,,Func,
method_129,AddBoundaryElement,,Sub,
method_130,AddByAssignmentType,,Func,
method_131,AddByAssignmentType,,Func,
method_132,AddCSOIntoSelectionSet,,Sub,
method_133,AddClearance,,Sub,
method_134,AddColumn,,Sub,
method_135,AddCommand,,Func,
method_136,AddComponent,,Func,
method_137,AddComponentsFromFiles,,Sub,
method_138,AddConnector,,Sub,
method_139,AddConnector,,Func,
method_140,AddConstraint,,Sub,
method_141,AddConstraint,,Sub,
method_142,AddConstraint,,Func,
method_143,AddConstraintTolerant,,Sub,
method_144,AddCopyScene,,Func,
method_145,AddCorrector,,Func,
method_146,AddCutPoints,,Sub,
method_147,AddCuttingElem,,Sub,
method_148,AddDefExtFromCoordinates,,Func,
method_149,AddDefExtFromReference,,Func,
method_150,AddDefExtOnMember,,Func,
method_151,AddDetail,,Func,
method_152,AddDetail,,Func,
method_153,AddDetail,,Func,
method_154,AddDimMember,,Func,
method_155,AddDimMemberOnPlane,,Func,
method_156,AddDimMemberPtPt,,Func,
method_157,AddDimMemberWithSupport,,Func,
method_158,AddDistanceAlongAlineMotion,,Sub,
method_159,AddDistanceAlongAlineMotionFeed,,Sub,
method_160,AddDistanceAlongAxis,,Sub,
method_161,AddDistanceAlongAxisFeed,,Sub,
method_162,AddDraftAngleDefinitionLocation,,Sub,
method_163,AddDropOffView,,Sub,
method_164,AddDynamicConnector,,Sub,
method_165,AddEdgeToFillet,,Sub,
method_166,AddEdgeToKeep,,Sub,
method_167,AddEdgeToKeepSharp,,Sub,
method_168,AddEdgeToTear,,Sub,
method_169,AddElement,,Sub,
method_170,AddElementToChamfer,,Sub,
method_171,AddElementToKeep,,Sub,
method_172,AddElementToKeep,,Sub,
method_173,AddElementToRemove,,Sub,
method_174,AddElementToRemove,,Sub,
method_175,AddElementsToFreeze,,Sub,
method_176,AddExistingCase,,Sub,
method_177,AddExistingCaseForReport,,Sub,
method_178,AddExistingSet,,Sub,
method_179,AddExplicit,,Sub,
method_180,AddExtension,,Sub,
method_181,AddExternalComponent,,Func,
method_182,AddFaceToDraft,,Sub,
method_183,AddFaceToKeep,,Sub,
method_184,AddFaceToKeep2,,Sub,
method_185,AddFaceToRemove,,Sub,
method_186,AddFaceToRemove,,Sub,
method_187,AddFaceToRemove2,,Sub,
method_188,AddFaceToThicken,,Sub,
method_189,AddFaceWithDifferentThickness,,Sub,
method_190,AddFaceWithDifferentThickness,,Sub,
method_191,AddFact,,Sub,
method_192,AddFeatureToLocatePositions,,Sub,
method_193,AddFeatureToLocatePositions,,Sub,
method_194,AddFile,,Sub,
method_195,AddFillPoints,,Sub,
method_196,AddFixTogether,,Sub,
method_197,AddFormalParameter,,Sub,
method_198,AddFreeParameter,,Func,
method_199,AddFrom3DPlane,,Func,
method_200,AddFromFile,,Sub,
method_201,AddFromFile,,Func,
method_202,AddFromSel,,Func,
method_203,AddFromSel,,Func,
method_204,AddFromSel,,Func,
method_205,AddFromSel,,Func,
method_206,AddFromSel,,Func,
method_207,AddFromSel,,Func,
method_208,AddFromSweptAble,,Func,
method_209,AddFromViewpoint,,Func,
method_210,AddFromXML,,Func,
method_211,AddFrozenCurveSegment,,Sub,
method_212,AddFrozenPoint,,Sub,
method_213,AddGapConductionTable,,Sub,
method_214,AddGotoHorizontal,,Sub,
method_215,AddGotoPoint,,Func,
method_216,AddGotoPointfromCoordinates,,Func,
method_217,AddGraphicalPrimitive,,Sub,
method_218,AddGraphicalPrimitive,,Sub,
method_219,AddGraphicalRepresentation,,Sub,
method_220,AddGraphicalRepresentation,,Sub,
method_221,AddGuide,,Sub,
method_222,AddGuideWithTangent,,Sub,
method_223,AddImposedVertex,,Sub,
method_224,AddInAProduct,,Func,
method_225,AddInflatingFromFile,,Func,
method_226,AddInstance,,Func,
method_227,AddInternalFlow,,Func,
method_228,AddInternalFlowSpecifyGRR,,Func,
method_229,AddInterrupt,,Sub,
method_230,AddInterruption,,Sub,
method_231,AddInterruption,,Sub,
method_232,AddItemReservation,,Func,
method_233,AddJoint,,Func,
method_234,AddLeader,,Sub,
method_235,AddLibrary,,Sub,
method_236,AddLink,,Sub,
method_237,AddMachinableGeometry,,Sub,
method_238,AddMasterShapeRepresentation,,Sub,
method_239,AddMeToBuffer,,Sub,
method_240,AddMember,,Sub,
method_241,AddMember,,Func,
method_242,AddMember,,Sub,
method_243,AddMemberFromDir,,Func,
method_244,AddMemberFromMathDir,,Func,
method_245,AddMemberFromMathPlane,,Func,
method_246,AddMemberOnSupport,,Func,
method_247,AddMemberOnSupportWithRef,,Func,
method_248,AddMonoEltCst,,Func,
method_249,AddMotionGoToAPoint,,Sub,
method_250,AddMotionGoToAPointFeed,,Sub,
method_251,AddMotionProfile,,Sub,
method_252,AddMotionToAPlane,,Sub,
method_253,AddNew3DCorner,,Func,
method_254,AddNew3DCurveOffset,,Func,
method_255,AddNewAdd,,Func,
method_256,AddNewAffinity,,Func,
method_257,AddNewAffinity2,,Func,
method_258,AddNewAssemble,,Func,
method_259,AddNewAutoDraft,,Func,
method_260,AddNewAutoFillet,,Func,
method_261,AddNewAxisLine,,Func,
method_262,AddNewAxisToAxis,,Func,
method_263,AddNewAxisToAxis2,,Func,
method_264,AddNewBlend,,Func,
method_265,AddNewBlend,,Func,
method_266,AddNewBoundary,,Func,
method_267,AddNewBoundaryOfSurface,,Func,
method_268,AddNewBump,,Func,
method_269,AddNewChamfer,,Func,
method_270,AddNewCircPattern,,Func,
method_271,AddNewCircPatternofList,,Func,
method_272,AddNewCircle2PointsRad,,Func,
method_273,AddNewCircle3Points,,Func,
method_274,AddNewCircleBitangentPoint,,Func,
method_275,AddNewCircleBitangentRadius,,Func,
method_276,AddNewCircleCenterAxis,,Func,
method_277,AddNewCircleCenterAxisWithAngles,,Func,
method_278,AddNewCircleCenterTangent,,Func,
method_279,AddNewCircleCtrPt,,Func,
method_280,AddNewCircleCtrPtWithAngles,,Func,
method_281,AddNewCircleCtrRad,,Func,
method_282,AddNewCircleCtrRadWithAngles,,Func,
method_283,AddNewCircleDatum,,Func,
