id,name,description,output_type
output_1,oGRR,,
output_2,oPub,,
output_3,oAddedGRR,,
output_4,oNewCommand,,
output_5,oNewSchCntr,,
output_6,Orientation,,
output_7,oView,,
output_8,oNewSchCntr,,
output_9,oInternalFlowAdded,,
output_10,oInternalFlowAdded,,
output_11,oNewJoint,,
output_12,oCorner,,
output_13,oAffinity,,
output_14,oAxisLine,,
output_15,oAxisToAxis,,
output_16,oBlend,,
output_17,oBoundary,,
output_18,oBoundary,,
output_19,oCircle,,
output_20,oCircle,,
output_21,oCircle,,
output_22,oCircle,,
output_23,oCircle,,
output_24,oCircle,,
output_25,oCircle,,
output_26,oCircle,,
output_27,oCircle,,
output_28,oCircle,,
output_29,oCircle,,
output_30,oCircle,,
output_31,oCircle,,
output_32,oCombine,,
output_33,oConic,,
output_34,oReflectLine,,
output_35,oConnect,,
output_36,oCorner,,
output_37,oCurve,,
output_38,Orientation,,
output_39,oCurvePar,,
output_40,oCurveSmooth,,
output_41,oCylinderObject,,
output_42,oArrayOfDatum,,
output_43,oExt,,
output_44,oDirection,,
output_45,oDirection,,
output_46,oExt,,
output_47,oExt,,
output_48,oExtrapol,,
output_49,oExtrapol,,
output_50,oExt,,
output_51,opIAExtPolar,,
output_52,oExtrudeObject,,
output_53,oFill,,
output_54,oFillet,,
output_55,oFillet,,
output_56,oHealing,,
output_57,oHelix,,
output_58,oScaling,,
output_59,oSplit,,
output_60,oTrim,,
output_61,oIntersection,,
output_62,oInv,,
output_63,oExt,,
output_64,oLaw,,
output_65,oLine,,
output_66,oLine,,
output_67,oLine,,
output_68,oLine,,
output_69,oLine,,
output_70,oLine,,
output_71,oLine,,
output_72,oLine,,
output_73,oLine,,
output_74,oLine,,
output_75,oLine,,
output_76,oLine,,
output_77,oLine,,
output_78,oLine,,
output_79,oLine,,
output_80,oLine,,
output_81,oExt,,
output_82,oNear,,
output_83,oOffsetObject,,
output_84,oPlane,,
output_85,oPlane,,
output_86,oPlane,,
output_87,oPlane,,
output_88,oPlane,,
output_89,oPlane,,
output_90,oPlane,,
output_91,oIListOfPoints,,
output_92,oPlane,,
output_93,oPlane,,
output_94,oPlane,,
output_95,oPlane,,
output_96,oPlane,,
output_97,oPoint,,
output_98,oPoint,,
output_99,oPoint,,
output_100,oPoint,,
output_101,oPoint,,
output_102,oPoint,,
output_103,oPoint,,
output_104,oPoint,,
output_105,oPoint,,
output_106,oPoint,,
output_107,oPoint,,
output_108,oPoint,,
output_109,oPoint,,
output_110,oPoint,,
output_111,oPoint,,
output_112,oPoint,,
output_113,oPolyline,,
output_114,oExt,,
output_115,oProjection,,
output_116,oReflectLine,,
output_117,oReflectLine,,
output_118,oRevolObject,,
output_119,oRotate,,
output_120,oSection,,
output_121,oSphereObject,,
output_122,oExt,,
output_123,oSpiral,,
output_124,oSpline,,
output_125,oSurface,,
output_126,oExt,,
output_127,opIASweepConic,,
output_128,oExt,,
output_129,oExt,,
output_130,oSymmetry,,
output_131,oExt,,
output_132,oTranslate,,
output_133,oTranslate,,
output_134,oExt,,
output_135,oVolume,,
output_136,oWrapCurve,,
output_137,oWrapSurface,,
output_138,oChannel,,
output_139,Orientation,,
output_140,oNewAppCntr,,
output_141,oNewAppRoute,,
output_142,oPriority,,
output_143,oConnection,,
output_144,oConnection,,
output_145,oAppComp,,
output_146,oAppComp,,
output_147,oNewAppCompInst,,
output_148,oAppConnection,,
output_149,oAppConnection,,
output_150,oAppGroup,,
output_151,oAppGroup,,
output_152,oSchAppRoute,,
output_153,oNewAppCompRef,,
output_154,oAppRoute,,
output_155,oAppRoute,,
output_156,oAppRoute,,
output_157,oAppRoute,,
output_158,oAppRoute,,
output_159,oAppZone,,
output_160,oAppZone,,
output_161,oConnectable,,
output_162,oLBaseCompClasses,,
output_163,oColor,,
output_164,oGRRDefaultName,,
output_165,oCaption,,
output_166,oMessage,,
output_167,oEFlowCapability,,
output_168,oEFlowReality,,
output_169,oGroupClassName,,
output_170,oLCntrs,,
output_171,oLDocumentNames,,
output_172,oPublicationName,,
output_173,oPublicationName,,
output_174,oLDocumentName,,
output_175,oLDocumentUuid,,
output_176,oLOpenStatus,,
output_177,oLCntr,,
output_178,oDocument,,
output_179,oDocumentName,,
output_180,oSymbolicLinkName,,
output_181,oMasterImage,,
output_182,oReferenceName,,
output_183,oRouteClassName,,
output_184,oPriority,,
output_185,oZoneClassName,,
output_186,oBYes,,
output_187,oBYes,,
output_188,oBYes,,
output_189,oNLSFileName,,
output_190,oNLSFileKeyToMessage,,
output_191,oLSourceCntrs,,
output_192,oBYes,,
output_193,oLOKCntrs,,
output_194,oBYes,,
output_195,oLOKCntrs,,
output_196,oBYes,,
output_197,oStatus,,
output_198,oLCntrCompatClassTypes,,
output_199,oLCntrClassFilter,,
output_200,oLCntbles,,
output_201,oLCntrs,,
output_202,oLCntrClassFilter,,
output_203,oLCntbles,,
output_204,oLCntrsOnThisObj,,
output_205,oLCntrsOnConnected,,
output_206,oLCntnClassFilter,,
output_207,oLConnections,,
output_208,oLCntrClassFilter,,
output_209,oLCntrs,,
output_210,oLCntrClassFilter,,
output_211,oLCntrs,,
output_212,oLGRRNames,,
output_213,oLUKImages,,
output_214,oLConnectorNamesAllowed,,
output_215,oLValidCntrTypes,,
output_216,oLValidRouteTypes,,
output_217,oLAppCntbl,,
output_218,oBYes,,
output_219,oBYes,,
output_220,oBYes,,
output_221,oBYes,,
output_222,oBYes,,
output_223,oBYes,,
output_224,oBYes,,
output_225,oBYes,,
output_226,oBYes,,
output_227,oBYes,,
output_228,oBYes,,
output_229,oBYes,,
output_230,oBYes,,
output_231,oBYes,,
output_232,oOK,,
output_233,oOK,,
output_234,oDocument,,
output_235,oBShow,,
output_236,oImage,,
output_237,oAttachment,,
output_238,oName,,
output_239,oBranchCntn,,
output_240,oNewBranchCntr,,
output_241,oNewSchRoute,,
output_242,oNewGRRRoute,,
output_243,oPath,,
output_244,oValueInMKS,,
output_245,oValueInThisUnit,,
output_246,oXMLFileName,,
output_247,oValueInMKS,,
output_248,oValueInStorageUnit,,
output_249,oNRLTargetFolder,,
output_250,oAppZone,,
output_251,oLayout,,
output_252,oCreatedOperation,,
output_253,oBoard,,
output_254,oCreatedCallTask,,
output_255,oCapture,,
output_256,oCreatedChild,,
output_257,oComponent,,
output_258,oNewComponent,,
output_259,oDatum,,
output_260,oDatum,,
output_261,oNewDoc,,
output_262,oDatum,,
output_263,oText,,
output_264,oFlagNote,,
output_265,oGRRCntr,,
output_266,oGRRGroup,,
output_267,oGRRRoute,,
output_268,oGRRRouteEllipse,,
output_269,oGRRZone,,
output_270,oAccuracyProfile,,
output_271,oGenericAction,,
output_272,oMotionProfile,,
output_273,oObjFrameProfile,,
output_274,oToolProfile,,
output_275,oLoadParameters,,
output_276,oSchComp,,
output_277,opMfgAssembly,,
