id,name,description,parameter_type,parameter_order
parameter_1,iObject,,,1
parameter_2,iGRRName,,,1
parameter_3,iDb2WhereAt,,,2
parameter_5,iType,,,1
parameter_6,iPointNumber,,,1
parameter_7,iPosU,,,1
parameter_8,iPosV,,,2
parameter_9,ShapeName,,,1
parameter_10,iItem,,,1
parameter_11,iOutput,,,1
parameter_12,iLoadType,,,1
parameter_13,iStepType,,,1
parameter_14,iPlane,,,1
parameter_15,iObject,,,1
parameter_16,iMechanism,,,1
parameter_17,iContext,,,2
parameter_18,iFieldType,,,1
parameter_19,iCompAccuracy,,,1
parameter_20,iDispAccuracy,,,2
parameter_21,iComputationType,,,3
parameter_22,iProductToWrapping,,,1
parameter_23,iAccuracy,,,2
parameter_24,iRatio,,,3
parameter_25,iShapeName,,,4
parameter_26,iActivatedShape,,,5
parameter_27,iDefaultShape,,,6
parameter_28,iItem,,,1
parameter_29,docType,,,1
parameter_30,iActivity,,,1
parameter_31,iObject,,,1
parameter_32,iProduct,,,1
parameter_33,iDrawingViewName,,,1
parameter_34,iType,,,1
parameter_35,iSetType,,,2
parameter_36,iPublicName,,,1
parameter_38,iDrawingText,,,1
parameter_39,iDrawingSheetName,,,1
parameter_40,iPropertyType,,,1
parameter_41,iLayoutSheetName,,,1
parameter_42,iGeomElem,,,1
parameter_43,iImageName,,,1
parameter_44,iHideExistingImages,,,2
parameter_45,iShowMesh,,,3
parameter_46,iDuplicate,,,4
parameter_47,iSymbol,,,1
parameter_48,iInteractionType,,,1
parameter_49,iDrawingPicturePath,,,1
parameter_50,iAnalysisType,,,1
parameter_51,iType,,,1
parameter_52,iType,,,1
parameter_53,iAction,,,1
parameter_54,iTypeDim,,,1
parameter_55,iGeomElem,,,2
parameter_56,iPtCoordElem,,,3
parameter_57,iLineRep,,,4
parameter_58,iDrawingComponentRef,,,1
parameter_59,iType,,,1
parameter_60,iBoundaryType,,,1
parameter_61,iEnvironmentType,,,1
parameter_62,iType,,,1
parameter_63,iType,,,1
parameter_64,iTypeDim,,,1
parameter_65,iGeomElem,,,2
parameter_66,iPtCoordElem,,,3
parameter_67,iLDCRefElem,,,4
parameter_68,iLDCRefAngle,,,5
parameter_69,iCoordinates,,,1
parameter_70,iCoordinates,,,1
parameter_71,iFillStatus,,,2
parameter_72,iCoordinates,,,1
parameter_73,iCoordinates,,,1
