id,name,description,property_type,is_read_only
property_1,A,,RealParam,
property_2,ABND,,Unknown,
property_3,ASNavigationMode,,Unknown,
property_4,ASStepSize,,Unknown,
property_5,AbsoluteAxis,,Unknown,
property_6,AccelColor,,Unknown,
property_7,AccelLimit,,Unknown,
property_8,Acceleration,,Unknown,
property_9,Acceleration,,Unknown,
property_10,AccelerationPercent,,Unknown,
property_11,Accuracy,,Unknown,
property_12,AccuratePickingMode,,Unknown,
property_13,AccuratePickingWindowSize,,Unknown,
property_14,Actions,,Unknown,
property_15,ActionsCount,,Unknown,
property_16,ActionsGroups,,Unknown,
property_17,Activate2DMode,,Unknown,
property_18,Activated,,Unknown,
property_19,Activation,,Unknown,
property_20,Activation,,Unknown,
property_21,ActivationMode,,Unknown,
property_22,ActivationState,,Unknown,
property_23,ActivationState,,Unknown,
property_24,ActivationState,,Unknown,
property_25,ActivationStatus,,Unknown,
property_26,ActivationStatus,,Unknown,
property_27,Active,,Unknown,
property_28,Active,,Unknown,
property_29,ActiveCamera,,Unknown,
property_30,ActiveDocument,,Unknown,
property_31,ActiveEnvironment,,Unknown,
property_32,ActivePrinter,,Unknown,
property_33,ActiveSheet,,Unknown,
property_34,ActiveSheet,,Unknown,
property_35,ActiveSheet,,Unknown,
property_36,ActiveSheet,,Unknown,
property_37,ActiveStatus,,Unknown,
property_38,ActiveStatus,,Unknown,
property_39,ActiveStatus,,Unknown,
property_40,ActiveView,,Unknown,
property_41,ActiveView,,Unknown,
property_42,ActiveView,,Unknown,
property_43,ActiveView,,Unknown,
property_44,ActiveViewState,,Unknown,
property_45,ActiveViewer,,Unknown,
property_46,ActiveWindow,,Unknown,
property_47,Activities,,Unknown,
property_48,Activity,,Unknown,
property_49,AdaptiveCoeff,,Unknown,
property_50,AdaptivityManager,,Unknown,
property_51,AddedMaterialPercentage,,Unknown,
property_52,AddedMaterialVolume,,Unknown,
property_53,AdjustMethod,,Unknown,
property_54,AdjustSlaveNode,,Unknown,
property_55,AdjustSlaveNode,,Unknown,
property_56,AdjustToleranceVal,,Unknown,
property_57,AdvancedLaw,,Unknown,
property_58,Affiche_Attribut,,Unknown,
property_59,AlgorithmType,,Unknown,
property_60,AlignType,,Unknown,
property_61,AllAround,,Unknown,
property_62,AllChecksReport,,Unknown,
property_63,AllDatumsSimple,,Unknown,
property_64,AllJointsSpeed,,Unknown,
property_65,AllParameters,,Unknown,
property_66,AllResourceFilter,,Unknown,
property_67,AllZBufferElementMode,,Unknown,
property_68,AllowDistortions,,Unknown,
property_69,AllowSeparation,,Unknown,
property_70,AlphabeticOrder,,Unknown,
property_71,AlsoDeleteExclusiveParents,,Unknown,
property_72,AlternateView,,Unknown,
property_73,Ambient,,Unknown,
property_74,AmbientActivation,,Unknown,
property_75,AmbientCoefficient,,Unknown,
property_76,AmbientFactor,,Unknown,
property_77,Amplitude,,Unknown,
property_78,Amplitude,,Unknown,
property_79,AnEmptyAnnotationsList,,Unknown,
property_80,Analysis,,Unknown,
property_81,AnalysisCacheMode,,Unknown,
property_82,AnalysisCases,,Unknown,
property_83,AnalysisDisplayMode,,Unknown,
property_84,AnalysisEntities,,Unknown,
property_85,AnalysisImages,,Unknown,
property_86,AnalysisImages,,Unknown,
property_87,AnalysisImages,,Unknown,
property_88,AnalysisImages,,Unknown,
property_89,AnalysisLevel,,Unknown,
property_90,AnalysisLoadMode,,Unknown,
property_91,AnalysisLocalEntities,,Unknown,
property_92,AnalysisMaterial,,Unknown,
property_93,AnalysisMeshLocalSpecifications,,Unknown,
property_94,AnalysisMeshParts,,Unknown,
property_95,AnalysisModels,,Unknown,
